gene,pvalues,padj
AKAP9,0.0245429323788155,1
TNR,0.0245429323788155,1
TNKS1BP1,0.0266627912947443,1
IKBKAP,0.0267823720087174,1
ITGA7,0.0267823720087174,1
SMTN,0.0267823720087174,1
TRANK1,0.0267823720087174,1
APOL2,0.027246255017752,1
ARL13A,0.027246255017752,1
CD53,0.027246255017752,1
CREB1,0.027246255017752,1
HAAO,0.027246255017752,1
HIST1H3D,0.027246255017752,1
SLC25A35,0.027246255017752,1
SNX9,0.027246255017752,1
TAF9,0.027246255017752,1
TGFB3,0.027246255017752,1
TGIF2,0.027246255017752,1
TRMT2A,0.027246255017752,1
XPC,0.027246255017752,1
APBB1,0.0275976180323345,1
APC,0.0277352586831407,1
COL11A1,0.0285515844886052,1
MEI1,0.0293796660325146,1
NLRP8,0.0293796660325146,1
NRAS,0.0293796660325146,1
RERE,0.0293796660325146,1
SIN3A,0.0293796660325146,1
TNKS2,0.0293796660325146,1
ZNF43,0.0293796660325146,1
PCDHB7,0.029437788478025,1
SOX9,0.0308515964551998,1
AFF1,0.03136160606801,1
BRIP1,0.03136160606801,1
C1R,0.03136160606801,1
CBX8,0.03136160606801,1
CCDC37,0.03136160606801,1
DNAI2,0.03136160606801,1
EEF1A2,0.03136160606801,1
FAM214B,0.03136160606801,1
FGFR2,0.03136160606801,1
GABRA1,0.03136160606801,1
GARNL3,0.03136160606801,1
KPRP,0.03136160606801,1
MRGPRX1,0.03136160606801,1
PUS7,0.03136160606801,1
SH2D3C,0.03136160606801,1
SLC1A6,0.03136160606801,1
SOX6,0.03136160606801,1
TNRC6C,0.03136160606801,1
USP42,0.03136160606801,1
WDR19,0.03136160606801,1
ANO7,0.031465869858991,1
DGKA,0.031465869858991,1
ELFN1,0.031465869858991,1
FBF1,0.031465869858991,1
FUT1,0.031465869858991,1
GABRA4,0.031465869858991,1
IGFALS,0.031465869858991,1
IL17RA,0.031465869858991,1
INSM2,0.031465869858991,1
KIF5A,0.031465869858991,1
LOXL3,0.031465869858991,1
MYCN,0.031465869858991,1
NBN,0.031465869858991,1
PAX1,0.031465869858991,1
POMT2,0.031465869858991,1
PPFIA3,0.031465869858991,1
PRKCD,0.031465869858991,1
PUM1,0.031465869858991,1
RASAL1,0.031465869858991,1
RIPK4,0.031465869858991,1
SCFD1,0.031465869858991,1
SECISBP2L,0.031465869858991,1
SF3B4,0.031465869858991,1
SIMC1,0.031465869858991,1
SIN3B,0.031465869858991,1
SLC22A10,0.031465869858991,1
SLC26A8,0.031465869858991,1
TMEM39A,0.031465869858991,1
VTN,0.031465869858991,1
ZBTB22,0.031465869858991,1
ZNF860,0.031465869858991,1
ADGRD2,0.0322351882861187,1
ANO8,0.0322351882861187,1
DOK5,0.0322351882861187,1
EVI5,0.0322351882861187,1
FAM200B,0.0322351882861187,1
